,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
South Tyrol's,South Tyrol's,GPE,0.12500000,0.66666667,en,1.00000000,,3164650,T,46.93667000,12.12444000,EUROPE,Italy,WCE
Miami,Miami,GPE,0.00000000,0.12500000,en,1.00000000,4039108-5,4164138,P,25.77427000,-80.19366000,NORTH-AMERICA,United States,ENA
Sheffield,Sheffield,GPE,0.00000000,0.00000000,en,1.00000000,4118617-5,2638077,P,53.38297000,-1.46590000,EUROPE,United Kingdom,NEU
East Frost,East Frost,GPE,0.00000000,0.00000000,en,1.00000000,,5240364,L,43.95978000,-73.00845000,NORTH-AMERICA,United States,ENA
Lviv,Lviv,GPE,0.25000000,0.33333333,en,1.00000000,4035304-7,702550,P,49.83826000,24.02324000,EUROPE,Ukraine,WCE
Southern Italy,Southern Italy,LOC,0.00000000,0.00000000,en,1.00000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
Bengal,Bengal,GPE,0.00000000,0.00000000,en,1.00000000,4029344-0,1275004,P,22.56263000,88.36304000,ASIA,India,SAS
Wismar,Wismar,GPE,0.10000000,0.10000000,en,1.00000000,4201278-8,2807465,P,53.89218000,11.45563000,EUROPE,Germany,NEU
Sarajevo,Sarajevo,GPE,0.00000000,0.00000000,en,1.00000000,4077016-3,3191281,P,43.84864000,18.35644000,EUROPE-AFRICA,Bosnia and Herzegovina,MED
Bansko,Bansko,GPE,0.00000000,0.10000000,en,1.00000000,4400635-4,733462,P,41.83610000,23.48745000,EUROPE-AFRICA,Bulgaria,MED
Kyiv,Kyiv,GPE,0.00000000,0.00000000,en,1.00000000,4030522-3,703448,P,50.45466000,30.52380000,EUROPE,Ukraine,WCE
Superbrain,Superbrain,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Sauerland,Sauerland,LOC,0.00000000,0.00000000,en,1.00000000,4058620-0,2824655,P,51.32810000,8.00369000,EUROPE,Germany,WCE
South Tyrol,South Tyrol,GPE,0.00000000,0.00000000,en,1.00000000,4007901-6,3181913,P,46.49067000,11.33982000,EUROPE,Italy,WCE
Portugal,Portugal,GPE,0.00000000,0.00000000,en,1.00000000,4046843-4,2264397,A,39.69450000,-8.13057000,EUROPE-AFRICA,Portugal,MED
Dessau,Dessau,GPE,0.03333333,0.12777778,en,1.00000000,1211907996,2937959,P,51.83864000,12.24555000,EUROPE,Germany,WCE
West,West,LOC,0.10000000,0.40000000,en,1.00000000,,11887751,L,42.77268000,-116.95790000,NORTH-AMERICA,United States,WNA
Bosnia,Bosnia,GPE,0.00000000,0.05000000,en,1.00000000,4088119-2,3277605,A,44.25000000,17.83333000,EUROPE-AFRICA,Bosnia and Herzegovina,MED
Azerbaijan,Azerbaijan,GPE,0.00000000,0.10000000,en,1.00000000,1023252-7,587116,A,40.50000000,47.50000000,ASIA,Azerbaijan,WCA
the Central African Republic,the Central African Republic,LOC,-0.15000000,0.34166667,en,1.00000000,,4138479,S,38.91206000,-77.04887000,NORTH-AMERICA,United States,ENA
Dakar,Dakar,GPE,0.00000000,0.00000000,en,1.00000000,4010921-5,2253354,P,14.69370000,-17.44406000,AFRICA,Senegal,WAF
U3,U3,LOC,0.00000000,0.00000000,en,1.00000000,4207272-4,2650752,P,56.46913000,-2.97489000,EUROPE,United Kingdom,NEU
Riyadh,Riyadh,GPE,0.00000000,0.00000000,en,1.00000000,4015384-8,108410,P,24.68773000,46.72185000,ASIA,Saudi Arabia,ARP
Freistadt,Freistadt,GPE,0.25833333,0.40833333,en,1.00000000,4093242-4,2779275,P,48.51103000,14.50453000,EUROPE,Austria,WCE
Waldviertel,Waldviertel,GPE,-0.35000000,0.55000000,en,1.00000000,4064426-1,7871801,A,48.49738000,15.36927000,EUROPE,Austria,WCE
Montana,Montana,GPE,0.00000000,0.00000000,en,1.00000000,4262460-5,729114,P,43.41250000,23.22500000,EUROPE-AFRICA,Bulgaria,MED
Gmünd,Gmünd,GPE,-0.35000000,0.55000000,en,1.00000000,301295-5,2835482,P,48.79947000,9.79809000,EUROPE,Germany,WCE
North Korea,North Korea,GPE,-0.15000000,0.34166667,en,1.00000000,4075468-6,1873107,A,40.00000000,127.00000000,ASIA,North Korea,EAS
Namibia,Namibia,GPE,-0.15000000,0.34166667,en,1.00000000,4075202-1,3355338,A,-22.00000000,17.00000000,AFRICA,Namibia,WSAF
Lugano,Lugano,GPE,0.25000000,0.33333333,en,1.00000000,4099915-4,3422064,T,72.80000000,-27.46667000,POLAR,Greenland,GIC
